"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"- **前提条件**: Đã login, đang ở Event-home
- **テスト手順**: 1. Quan sát thanh navigation tabs
                 2. Kiểm tra tên tab, thứ tự và tab đang active
- **期待する結果**: Hiển thị đủ 5 tab theo đúng thứ tự; tab イベント đang active","59","イベントホーム_001: Verify các navigation tabs được hiển thị","tests","2026-09-14","passed","2026-09-14","Testイベント_Event_home","test_event_home","",""
"- **前提条件**: Mở trang portal home
- **テスト手順**: 1. Kiểm tra label ポータル名 và dấu ※必須
- **期待する結果**: Dấu ※必須 màu đỏ hiển thị đúng cạnh label ポータル名","777","ポータル_001: Verify dấu ※必須 cạnh ポータル名","tests","2026-09-14","passed","2026-09-14","Testポータル_ホーム","test_portal","",""
"- **前提条件**: 会員リスト画面を表示中
- **テスト手順**:
  - 1. サブタブ「会員属性の設定」を押下する
  - 2. サブタブ「会員登録フォーム」を押下する
  - 3. サブタブ「アプリ利用者」を押下する
  - 4. サブタブ「会員退会設定」を押下する
- **期待する結果**:
  - 各サブタブ押下後に URL / パネル内容が切り替わること
  - 押下したサブタブがアクティブ状態になること","722","会員リスト_008: Verify chuyển đổi giữa các sub-tab (会員属性の設定, 会員登録フォーム, アプリ利用者, 会員退会設定)","tests","2026-09-14","passed","2026-09-14","Test会員管理_会員リスト","test_member_list","",""
"- **前提条件**: Đang mở màn hình tạo Push Notification
- **テスト手順**:
    1. Nhập Title
    2. Nhập Message
    3. Click 「キャンセル」hoặc 「X]
- **期待する結果**:
    - Modal đóng
    - Không lưu dữ liệu","687","配信する_008: Verify nhấn キャンセル/đóng thì không lưu dữ liệu","tests","2026-09-14","passed","2026-09-14","Testプッシュ配信_配信する","test_push_list","",""
"- **前提条件**: Đã login (account bất kỳ) và đang ở màn hình 会員リスト
        - **テスト手順**: 1. Click header 会員ID (có mũi tên ↑)
        - **期待する結果**: Dữ liệu bảng được sắp xếp tăng dần theo 会員ID","667","会員リスト_003: Verify sắp xếp theo 会員ID sau khi click header","tests","2026-09-14","failed","2026-09-14","Test会員管理_会員リスト","test_member_list","",""
"- **前提条件**: Đã login, đang ở Event-home
- **テスト手順**: 1. Đếm số dòng event đang hiển thị rồi so với text phân trang
                 2. Kiểm tra nút 前へ và giá trị 表示件数 mặc định
- **期待する結果**: Summary khớp số dòng thực tế, nút 前へ disabled, 表示件数 = mặc định","56","イベントホーム_006: Verify trạng thái mặc định pagination và 表示件数","tests","2026-09-14","passed","2026-09-14","Testイベント_Event_home","test_event_home","",""
"- **前提条件**: Mở trang portal home
- **テスト手順**:
  1. Hover (hoặc click) icon (?) cạnh ポータル名
  2. Hover (hoặc click) icon (?) cạnh ポータルアイコン
- **期待する結果**: Tooltip/popup xuất hiện với nội dung hướng dẫn tương ứng","743","ポータル_007: Verify icon tooltip (?) hiển thị nội dung khi hover/click","tests","2026-09-14","passed","2026-09-14","Testポータル_ホーム","test_portal","",""
"- **前提条件**: Đã đăng nhập và đang hiển thị màn hình danh sách thành viên
        - **テスト手順**: 1. Nhấn nút ""Đăng ký thành viên mới"" (新規会員登録)
        - **期待する結果**: Chuyển hướng sang màn hình đăng ký thành viên mới","1193","会員リスト_006: Verify new member registration navigation","tests","2026-09-14","passed","2026-09-14","Test会員管理_会員リスト","test_member_list","",""
"- **前提条件**: Mở trang portal home, ô ポータル名 đang trống
- **テスト手順**:
  1. Kiểm tra nút 保存する đang disabled
  2. Nhập「Automation Portal Test」vào ô ポータル名
- **期待する結果**: Nút 保存する chuyển từ disabled sang enabled","779","ポータル_003: Verify nhập ポータル名 hợp lệ làm enable nút 保存する","tests","2026-09-14","passed","2026-09-14","Testポータル_ホーム","test_portal","",""
"- **前提条件**: Điều hướng tới trang portal-home
- **テスト手順**: 1. Kiểm tra tab navigation trên header
- **期待する結果**: Tab ポータル có class/màu active (gạch cam); các tab khác không active","671","ポータル_008: Verify tab 'ポータル' ở trạng thái active khi đang ở trang này","tests","2026-09-14","passed","2026-09-14","Testポータル_ホーム","test_portal","",""
"- **前提条件**: Đang ở màn hình portal
- **テスト手順**: 1. Xác nhận khu vực ポータルアイコン
- **期待する結果**: Hiển thị placeholder, nút ファイルを選択 và 3 dòng hướng dẫn kích thước/format","648","ポータル_005: Portal icon section hiển thị đúng nội dung hướng dẫn","tests","2026-09-14","passed","2026-09-14","Testポータル_ホーム","test_portal","",""
